Date Time,Latitude,Longitude,Technology_Detail,LTE PDSCH Modulation,LTE PDSCH Phy Throughput (kbps),Local Operator,LTE Serving Cell RSRP (dBm),LTE Serving Cell Identity,NR PDSCH Phy Throughput Total (Kbps),Multi RAT Connectivity Mode,MR-DC Cell 1 SINR (dB),LTE Serving Cell DL EARFCN,Multi_RAT_Phy_Throughput_DL_kbps,LTE Serving Cell Frequency Band,LTE Serving Cell RS SINR (dB),NR Serving Beam 1 NRARFCN DL,NR Serving Beam 1 Cell Identity,NR Serving Beam 1 Band,NR Serving Beam 1 Bandwidth DL,NR Serving Cell SS RSRQ Top #1,NR Serving Cell SS RSRP Top #1,MR-DC Cell 1 SINR (dB),NR MAC DL Throughput Total (kbps),LTE Serving Cell RSRQ (dB),LTE Serving Cell RSRP (dBm),LTE Serving Cell RS SINR (dB),LTE MAC DL Throughput (kbps)
7/15/2024 11:01:59.000,51.29967759,6.824110862,,QPSK,3.339999914,1&1,-87.40000153,453.0,0.0,,4.5,6200.0,3.339999914,Band 20 (800),4.300000191,368910.0,916.0,Band n3 (1800),20 MHz,-11.0,-97.80000305,4.5,0.0,-14.0,-87.40000153,4.300000191,2.670000076
7/15/2024 11:02:01.000,51.29967731,6.824112628,EN-DC,64QAM,4969.379883,1&1,-87.59999847,453.0,2485.830078,,5.0,6200.0,7455.209961,Band 20 (800),3.900000095,368910.0,916.0,Band n3 (1800),20 MHz,-12.30000019,-99.30000305,5.0,2122.22998,-14.30000019,-87.59999847,3.900000095,3281.51001
7/15/2024 11:02:03.000,51.29967704,6.824114394,EN-DC,64QAM,7737.089844,1&1,-87.90000153,453.0,2639.590088,,-0.200000003,6200.0,10376.67969,Band 20 (800),-0.300000012,368910.0,916.0,Band n3 (1800),20 MHz,-14.69999981,-101.4000015,-0.200000003,2297.719971,-15.30000019,-87.90000153,-0.300000012,6871.609863
7/15/2024 11:02:05.000,51.29967677,6.82411616,EN-DC,16QAM,359.769989,1&1,-88.40000153,453.0,6136.029785,,0.300000012,6200.0,6495.799805,Band 20 (800),0.200000003,368910.0,916.0,Band n3 (1800),20 MHz,-16.10000038,-102.1999969,0.300000012,5480.069824,-14.89999962,-88.40000153,0.200000003,364.9100037
7/15/2024 11:02:07.000,51.2996765,6.824117926,EN-DC,64QAM,2921.209961,1&1,-89.30000305,453.0,16774.39063,,0.600000024,6200.0,19695.59961,Band 20 (800),0.600000024,368910.0,916.0,Band n3 (1800),20 MHz,-17.5,-105.5,0.600000024,14955.7998,-15.19999981,-89.30000305,0.600000024,2281.51001
7/15/2024 11:02:09.000,51.29967623,6.824119693,LTE,16QAM,3521.560059,1&1,-88.19999695,453.0,,,0.600000024,6200.0,3521.560059,Band 20 (800),0.5,,,,,,,0.600000024,,-15.30000019,-88.19999695,0.5,2818.810059
7/15/2024 11:02:11.000,51.29967596,6.824121459,LTE,64QAM,3591.719971,1&1,-87.69999695,453.0,,,3.599999905,6200.0,3591.719971,Band 20 (800),2.299999952,,,,,,,3.599999905,,-15.0,-87.69999695,2.299999952,3114.620117
7/15/2024 11:02:13.000,51.29967568,6.824123225,LTE,64QAM,3432.139893,1&1,-86.69999695,453.0,,,5.900000095,6200.0,3432.139893,Band 20 (800),5.800000191,,,,,,,5.900000095,,-14.0,-86.69999695,5.800000191,3102.959961
7/15/2024 11:02:15.000,51.29967541,6.824124991,LTE,16QAM,1103.98999,1&1,-86.19999695,453.0,,,3.400000095,6200.0,1103.98999,Band 20 (800),3.299999952,,,,,,,3.400000095,,-13.10000038,-86.19999695,3.299999952,1629.780029
7/15/2024 11:02:17.000,51.29967514,6.824126757,LTE,64QAM,765.6099854,1&1,-86.5,453.0,,,5.900000095,6200.0,765.6099854,Band 20 (800),5.5,,,,,,,5.900000095,,-12.60000038,-86.5,5.5,614.5599976
7/15/2024 11:02:19.000,51.29967487,6.824128524,LTE,64QAM,262.6300049,1&1,-86.59999847,453.0,,,6.900000095,6200.0,262.6300049,Band 20 (800),6.199999809,368910.0,916.0,Band n3 (1800),20 MHz,-10.69999981,-95.90000153,6.900000095,,-12.80000019,-86.59999847,6.199999809,239.6600037
7/15/2024 11:02:21.000,51.29967491,6.824130274,EN-DC,QPSK,16.23999977,1&1,-105.5999985,464.0,911.9699707,,-0.600000024,300.0,928.210022,Band 1 (2100),-0.699999988,368910.0,916.0,Band n3 (1800),20 MHz,-11.0,-96.30000305,-0.600000024,873.9099731,-16.89999962,-105.5999985,-0.699999988,14.56999969
7/15/2024 11:02:23.000,51.29967583,6.824131981,EN-DC,QPSK,4.940000057,1&1,-104.8000031,464.0,924.0200195,,0.100000001,300.0,928.960022,Band 1 (2100),-0.100000001,368910.0,916.0,Band n3 (1800),20 MHz,-11.5,-98.0,0.100000001,822.6099854,-17.29999924,-104.8000031,-0.100000001,5.489999771
7/15/2024 11:02:25.000,51.29967676,6.824133688,EN-DC,16QAM,14.84000015,1&1,-105.1999969,464.0,863.460022,,1.0,300.0,878.2999878,Band 1 (2100),0.899999976,368910.0,916.0,Band n3 (1800),20 MHz,-11.30000019,-97.40000153,1.0,807.5200195,-16.79999924,-105.1999969,0.899999976,5.449999809
7/15/2024 11:02:27.000,51.29967768,6.824135394,EN-DC,QPSK,1.799999952,1&1,-104.4000015,464.0,0.0,,-0.400000006,300.0,1.799999952,Band 1 (2100),-0.600000024,368910.0,916.0,Band n3 (1800),20 MHz,-11.39999962,-97.59999847,-0.400000006,0.0,-17.39999962,-104.4000015,-0.600000024,1.700000048
7/15/2024 11:02:29.000,51.29967861,6.824137101,EN-DC,QPSK,0.819999993,1&1,-103.6999969,464.0,0.0,,0.0,300.0,0.819999993,Band 1 (2100),0.0,368910.0,916.0,Band n3 (1800),20 MHz,-10.69999981,-97.30000305,0.0,0.0,-16.60000038,-103.6999969,0.0,0.910000026
7/15/2024 11:02:31.000,51.29967953,6.824138807,EN-DC,QPSK,1.889999986,1&1,-103.5,464.0,1232.77002,,-0.200000003,300.0,1234.660034,Band 1 (2100),-0.300000012,368910.0,916.0,Band n3 (1800),20 MHz,-11.0,-95.80000305,-0.200000003,996.710022,-17.10000038,-103.5,-0.300000012,1.710000038
7/15/2024 11:02:33.000,51.29968046,6.824140514,EN-DC,QPSK,1.110000014,1&1,-102.8000031,464.0,53.18999863,,-0.899999976,300.0,54.29999924,Band 1 (2100),-1.0,368910.0,916.0,Band n3 (1800),20 MHz,-11.19999981,-96.69999695,-0.899999976,53.18999863,-17.5,-102.8000031,-1.0,1.049999952
7/15/2024 11:02:35.000,51.29968138,6.82414222,EN-DC,QPSK,27.46999931,1&1,-102.6999969,464.0,809.5499878,,0.699999988,300.0,837.0200195,Band 1 (2100),0.5,368910.0,916.0,Band n3 (1800),20 MHz,-11.10000038,-94.5,0.699999988,763.9299927,-16.70000076,-102.6999969,0.5,30.37000084
7/15/2024 11:02:37.000,51.29968231,6.824143927,EN-DC,QPSK,0.790000021,1&1,-105.0999985,464.0,8.859999657,,-1.799999952,300.0,9.649999619,Band 1 (2100),-2.0,368910.0,916.0,Band n3 (1800),20 MHz,-10.80000019,-93.30000305,-1.799999952,7.989999771,-17.60000038,-105.0999985,-2.0,0.779999971
7/15/2024 11:02:39.000,51.29968323,6.824145633,EN-DC,QPSK,1.320000052,1&1,-105.6999969,464.0,0.0,,-1.700000048,300.0,1.320000052,Band 1 (2100),-2.099999905,368910.0,916.0,Band n3 (1800),20 MHz,-11.10000038,-92.90000153,-1.700000048,0.0,-17.79999924,-105.6999969,-2.099999905,1.320000052
7/15/2024 11:02:41.000,51.29968415,6.82414734,EN-DC,16QAM,464.6900024,1&1,-105.8000031,464.0,1222.160034,,-1.100000024,300.0,1686.849976,Band 1 (2100),-1.200000048,368910.0,916.0,Band n3 (1800),20 MHz,-11.10000038,-95.59999847,-1.100000024,1007.950012,-18.29999924,-105.8000031,-1.200000048,384.6700134
7/15/2024 11:02:43.000,51.29968508,6.824149046,EN-DC,16QAM,622.6300049,1&1,-106.0,464.0,3323.01001,,-2.799999952,300.0,3945.639893,Band 1 (2100),-3.200000048,368910.0,916.0,Band n3 (1800),20 MHz,-13.19999981,-100.5,-2.799999952,2859.129883,-18.89999962,-106.0,-3.200000048,616.460022
7/15/2024 11:02:45.000,51.299686,6.824150753,EN-DC,QPSK,1.850000024,1&1,-105.5999985,464.0,392.1099854,,-1.5,300.0,393.9599915,Band 1 (2100),-1.899999976,368910.0,916.0,Band n3 (1800),20 MHz,-12.89999962,-100.3000031,-1.5,283.730011,-18.89999962,-105.5999985,-1.899999976,1.830000043
7/15/2024 11:02:47.000,51.29968667,6.824151368,EN-DC,QPSK,0.930000007,1&1,-105.1999969,464.0,14.27999973,,-1.700000048,300.0,15.21000004,Band 1 (2100),-2.099999905,368910.0,916.0,Band n3 (1800),20 MHz,-12.69999981,-101.1999969,-1.700000048,13.18999958,-18.70000076,-105.1999969,-2.099999905,1.039999962
7/15/2024 11:02:49.000,51.29968704,6.824150725,EN-DC,QPSK,170.6600037,1&1,-105.0999985,464.0,1984.170044,,-3.099999905,300.0,2154.830078,Band 1 (2100),-3.400000095,368910.0,916.0,Band n3 (1800),20 MHz,-12.60000038,-101.0999985,-3.099999905,1756.449951,-19.39999962,-105.0999985,-3.400000095,189.2799988
7/15/2024 11:02:51.000,51.2996874,6.824150082,EN-DC,QPSK,25.61000061,1&1,-104.0999985,464.0,3.869999886,,-2.400000095,300.0,29.47999954,Band 1 (2100),-2.700000048,368910.0,916.0,Band n3 (1800),20 MHz,-12.10000038,-98.69999695,-2.400000095,3.869999886,-18.89999962,-104.0999985,-2.700000048,24.42000008
7/15/2024 11:02:53.000,51.29968777,6.824149439,EN-DC,QPSK,1.080000043,1&1,-105.5999985,464.0,0.0,,-1.200000048,300.0,1.080000043,Band 1 (2100),-1.5,368910.0,916.0,Band n3 (1800),20 MHz,-11.19999981,-97.59999847,-1.200000048,0.0,-18.0,-105.5999985,-1.5,1.200000048
7/15/2024 11:02:55.000,51.29968813,6.824148796,EN-DC,16QAM,1734.900024,1&1,-106.3000031,464.0,3530.26001,,-3.099999905,300.0,5265.160156,Band 1 (2100),-3.299999952,368910.0,916.0,Band n3 (1800),20 MHz,-11.89999962,-98.69999695,-3.099999905,3153.570068,-18.79999924,-106.3000031,-3.299999952,1438.660034
7/15/2024 11:02:57.000,51.2996885,6.824148153,EN-DC,QPSK,2.089999914,1&1,-106.1999969,464.0,10.21000004,,-5.0,300.0,12.30000019,Band 1 (2100),-5.199999809,368910.0,916.0,Band n3 (1800),20 MHz,-11.19999981,-94.69999695,-5.0,10.21000004,-20.39999962,-106.1999969,-5.199999809,2.049999952
7/15/2024 11:02:59.000,51.29968886,6.82414751,EN-DC,QPSK,8.300000191,1&1,-106.0999985,464.0,205.3099976,,-3.200000048,300.0,213.6100006,Band 1 (2100),-3.299999952,368910.0,916.0,Band n3 (1800),20 MHz,-11.0,-93.5,-3.200000048,195.3699951,-19.60000038,-106.0999985,-3.299999952,8.670000076
7/15/2024 11:03:01.000,51.29968923,6.824146867,EN-DC,16QAM,4385.700195,1&1,-106.8000031,464.0,3500.169922,,-1.799999952,300.0,7885.870117,Band 1 (2100),-2.0,368910.0,916.0,Band n3 (1800),20 MHz,-10.69999981,-93.90000153,-1.799999952,2869.159912,-19.29999924,-106.8000031,-2.0,3427.949951
7/15/2024 11:03:03.000,51.29968959,6.824146223,EN-DC,16QAM,5549.830078,1&1,-107.0,464.0,10211.41992,,-1.899999976,300.0,15761.25,Band 1 (2100),-2.099999905,368910.0,916.0,Band n3 (1800),20 MHz,-11.10000038,-93.80000305,-1.899999976,8908.580078,-19.0,-107.0,-2.099999905,5014.569824
