Time,Latitude,Longitude,DL EARFCN,Operator,Serving Cell RSRP (dBm),Serving Cell RSRQ (dB),Serving RSSI (dBm)
10/6/2025 11:43:57.000,33.293133,44.439312,,Asia Cell,-79.1,-9.6,-49.5
10/6/2025 11:43:59.000,33.29314875,44.439319,,Asia Cell,-79.4,-9.9,-49.5
10/6/2025 12:31:27.000,33.294111,44.452733,,Asia Cell,-77.5,-15.1,
10/6/2025 12:31:29.000,33.294111,44.452733,,Asia Cell,-77.4,-15.1,-42.1
10/6/2025 12:31:31.000,33.294111,44.452733,,Asia Cell,-76.3,-15.1,-40.3
10/6/2025 12:51:03.000,33.334036,44.419709,,Asia Cell,-72.1,-14.5,-37.9
10/6/2025 12:51:05.000,33.334036,44.419709,,Asia Cell,-69.2,-14.8,-34.8
10/6/2025 13:06:07.000,33.3057548333333,44.4640268333333,,Asia Cell,-72.7,-10.0,-44.1
10/6/2025 13:06:09.000,33.3057548333333,44.4640268333333,,Asia Cell,-79.7,-12.8,-46.6
10/6/2025 13:06:11.000,33.3057548333333,44.4640268333333,,Asia Cell,-83.6,-12.6,-52.0
10/6/2025 13:18:33.000,33.2923606666667,44.4449223333333,,,-83.0,-16.3,-46.6
10/6/2025 13:18:35.000,33.2923700289001,44.444899464927,,Asia Cell,-83.8,-18.5,-45.1
10/6/2025 13:18:37.000,33.2923987298246,44.4448127324562,,Asia Cell,-80.6,-9.9,-49.8
10/6/2025 13:18:39.000,33.2924290657277,44.4447241277666,,Asia Cell,-78.5,-10.2,-48.2
10/6/2025 13:18:41.000,33.2924487511939,44.4446542311366,,Asia Cell,-79.2,-11.1,-48.1
10/6/2025 13:18:43.000,33.2924617385204,44.444596690051,,Asia Cell,-80.0,-10.5,-49.5
10/6/2025 13:18:45.000,33.2924799583334,44.4445256527778,,Asia Cell,-81.6,-11.5,-50.1
10/6/2025 13:18:47.000,33.2924998333333,44.4444387833333,,Asia Cell,-80.9,-10.0,-50.5
10/6/2025 13:18:49.000,33.2925300736041,44.4443217749577,,Asia Cell,-83.4,-11.8,-51.3
10/6/2025 13:18:51.000,33.2925497558315,44.4441843713318,,Asia Cell,-82.9,-11.4,-50.8
10/6/2025 13:18:53.000,33.2925675743021,44.4440382889983,,Asia Cell,-82.1,-11.1,-50.7
10/6/2025 13:18:55.000,33.2925949567152,44.4438946209547,,Asia Cell,-81.0,-10.2,-49.6
10/6/2025 13:18:57.000,33.2926340400844,44.4437541113924,,Asia Cell,-82.7,-11.9,-49.6
10/6/2025 13:18:59.000,33.2926573046252,44.4436221770335,,Asia Cell,-84.3,-12.8,-51.2
10/6/2025 13:19:01.000,33.2926744426666,44.443492292,,Asia Cell,-83.8,-11.5,-52.2
10/6/2025 13:19:03.000,33.2926917887651,44.4433973853296,,Asia Cell,-82.5,-10.3,-52.1
10/6/2025 13:19:05.000,33.29270592,44.4433268233333,,Asia Cell,-82.3,-10.8,-52.6
10/6/2025 13:19:07.000,33.2927133205912,44.4432811906218,,Asia Cell,-83.8,-10.3,-53.5
10/6/2025 13:19:09.000,33.2927228119266,44.4432358654434,,Asia Cell,-83.2,-9.8,-53.2
10/6/2025 13:19:11.000,33.2927325522089,44.4431865803213,,Asia Cell,-85.9,-10.0,-51.7
10/6/2025 13:19:13.000,33.2927455136251,44.4431420039912,,Asia Cell,-83.4,-9.6,-49.9
10/6/2025 13:19:15.000,33.2927527596099,44.4431051919105,,Asia Cell,-81.2,-9.8,-50.9
10/6/2025 13:19:17.000,33.2927593673966,44.4430508055555,,Asia Cell,-81.6,-10.8,-49.7
10/6/2025 13:19:19.000,33.292766640056,44.4429899078431,,Asia Cell,-81.4,-9.9,-49.8
10/6/2025 13:19:21.000,33.2927755,44.4429115583333,,Asia Cell,-82.9,-11.8,-49.3
10/6/2025 13:19:23.000,33.2927789575083,44.4428386707921,,Asia Cell,-84.7,-11.7,-51.6
10/6/2025 13:19:25.000,33.2927770677931,44.4427721627034,,Asia Cell,-84.8,-10.4,-52.0
