Time,Latitude,Longitude,DL EARFCN,Operator,Serving Cell RSRP (dBm),Serving Cell RSRQ (dB),Serving RSSI (dBm)
10/6/2025 11:43:57.000,33.293133,44.439312,,Zain,-84.4,-13.5,-50.2
10/6/2025 11:43:59.000,33.29314875,44.439319,,Zain,-85.1,-11.1,-54.0
10/6/2025 12:19:05.000,33.29396959375,44.452762390625,,Zain,-95.8,-19.9,-55.9
10/6/2025 12:19:07.000,33.29397071875,44.452762078125,,Zain,-90.7,-19.5,-51.1
10/6/2025 12:19:09.000,33.293971,44.452762,,Zain,-91.0,-18.2,-51.1
10/6/2025 12:19:11.000,33.293971,44.452762,,Zain,-90.8,-18.6,-51.4
10/6/2025 12:31:27.000,33.294111,44.452733,,Zain,-88.0,-17.6,-50.4
10/6/2025 12:31:29.000,33.294111,44.452733,,Zain,-88.6,-16.6,-52.4
10/6/2025 12:31:31.000,33.294111,44.452733,,Zain,-87.1,-16.1,-51.1
10/6/2025 12:50:59.000,33.334036,44.419709,,Zain,-81.4,-14.0,-48.3
10/6/2025 12:51:01.000,33.334036,44.419709,,Zain,-80.4,-13.1,-47.6
10/6/2025 12:51:03.000,33.334036,44.419709,,Zain,-81.1,-12.7,-48.2
10/6/2025 12:51:49.000,33.3140073333333,44.4476633333333,,Zain,-76.5,-11.1,-45.7
10/6/2025 12:51:51.000,33.3140073333333,44.4476633333333,,Zain,-77.9,-11.5,-46.3
10/6/2025 13:06:07.000,33.3057548333333,44.4640268333333,,Zain,-82.3,-16.5,-46.2
10/6/2025 13:06:09.000,33.3057548333333,44.4640268333333,,Zain,-86.0,-16.8,-46.2
10/6/2025 13:18:35.000,33.2923700289001,44.444899464927,,Zain,-85.5,-15.7,-50.0
10/6/2025 13:18:37.000,33.2923987298246,44.4448127324562,,Zain,-85.3,-16.8,-47.9
10/6/2025 13:18:39.000,33.2924290657277,44.4447241277666,,Zain,-88.3,-18.0,-49.2
10/6/2025 13:18:41.000,33.2924487511939,44.4446542311366,,Zain,-86.8,-15.4,-50.8
10/6/2025 13:18:43.000,33.2924617385204,44.444596690051,,Zain,-86.1,-16.0,-49.8
10/6/2025 13:18:45.000,33.2924799583334,44.4445256527778,,Zain,-84.8,-15.7,-48.5
10/6/2025 13:18:47.000,33.2924998333333,44.4444387833333,,Zain,-78.5,-13.5,-42.3
10/6/2025 13:18:49.000,33.2925300736041,44.4443217749577,,Zain,-80.1,-13.7,-44.9
10/6/2025 13:18:51.000,33.2925497558315,44.4441843713318,,Zain,-85.8,-15.3,-49.0
10/6/2025 13:18:53.000,33.2925675743021,44.4440382889983,,Zain,-87.1,-15.6,-51.8
10/6/2025 13:18:55.000,33.2925949567152,44.4438946209547,,Zain,-87.9,-16.4,-52.0
10/6/2025 13:18:57.000,33.2926340400844,44.4437541113924,,Zain,-86.8,-16.0,-50.2
10/6/2025 13:18:59.000,33.2926573046252,44.4436221770335,,Zain,-84.7,-14.7,-51.7
10/6/2025 13:19:01.000,33.2926744426666,44.443492292,,Zain,-86.4,-14.4,-51.2
10/6/2025 13:19:03.000,33.2926917887651,44.4433973853296,,Zain,-90.8,-16.9,-53.3
10/6/2025 13:19:05.000,33.29270592,44.4433268233333,,Zain,-91.2,-17.2,-53.1
